"Source","Species","d13C","d15N"
"Voles","Micoec",-27.8,2.79
"Voles","Micoec",-27.3,2.31
"Voles","Micoec",-26.87,5.67
"Voles","Micoec",-27.25,5.49
"Voles","Micoec",-26.77,4.29
"Voles","Micoec",-26.77,4.81
"Voles","Micoec",-28.39,2.74
"Voles","Micoec",-27.8,4.08
"Voles","Micoec",-27.95,4.98
"Voles","Micoec",-27.89,2.85
"Voles","Micoec",-28.79,1.91
"Voles","Micoec",-28.85,1.28
"Voles","Micoec",-28.41,3.34
"Lemming","Lemlem",-28.13,1.85
"Lemming","Lemlem",-26,1.59
"Lemming","Lemlem",-25.95,0.25
"Lemming","Lemlem",-26.24,0.85
"Lemming","Lemlem",-28.5,2.18
"Lemming","Lemlem",-27.1,1.01
"Lemming","Lemlem",-27.35,0.19
"Lemming","Lemlem",-26.85,0.78
"Lemming","Lemlem",-27.08,1.53
"Lemming","Lemlem",-26.53,2.21
"Lemming","Lemlem",-26.67,1.49
"Lemming","Lemlem",-28.13,3.27
"Lemming","Lemlem",-27.52,0.86
"Lemming","Lemlem",-27.68,2.25
"Lemming","Lemlem",-29.97,1.62
"Lemming","Lemlem",-28.79,1.4
"Lemming","Lemlem",-30.01,2.36
"Lemming","Lemlem",-29.03,2.07
"Lemming","Lemlem",-28.68,2.08
"Lemming","Lemlem",-28.87,0.4
"Lemming","Lemlem",-29.23,1.7
"Lemming","Lemlem",-27.83,2.06
"Lemming","Lemlem",-28.82,0.88
"Reindeer","Rantar",-23.46,2.26
"Reindeer","Rantar",-25.73,1.71
"Reindeer","Rantar",-25.3,1.97
"Reindeer","Rantar",-26.02,2.27
"Reindeer","Rantar",-25.55,1.53
"Reindeer","Rantar",-25.58,1.52
"Reindeer","Rantar",-25.02,2.03
"Reindeer","Rantar",-25.42,1.13
"Reindeer","Rantar",-25.49,1.77
"Reindeer","Rantar",-25.37,1.77
"Reindeer","Rantar",-25.56,2.01
"Reindeer","Rantar",-23.74,2.49
"Reindeer","Rantar",-28.54,6.92
"Ptarmigan","Laglag",-25.98,1.74
"Ptarmigan","Laglag",-26.79,1.43
"Ptarmigan","Laglag",-27.01,0.91
"Ptarmigan","Laglag",-25.09,1.63
"Ptarmigan","Laglag",-25.39,1.6
"Ptarmigan","Laglag",-25.62,1.82
"Ptarmigan","Laglag",-25.64,1.15
"Ptarmigan","Laglag",-25.57,1.89
"Ptarmigan","Laglag",-25.55,0.93
"Ptarmigan","Laglag",-25.78,-0.18
"Ptarmigan","Laglag",-25.62,0.45
"Ptarmigan","Laglag",-25.51,0.08
"Ptarmigan","Laglag",-25.49,0.87
"Ptarmigan","Laglag",-25.22,1.36
"Ptarmigan","Laglag",-24.91,0.77
"Ptarmigan","Laglag",-24.21,2.56
"Ptarmigan","Lagmut",-24.51,2.47
"Ptarmigan","Lagmut",-24.09,2.33
"Ptarmigan","Lagmut",-25.21,0.86
"Ptarmigan","Lagmut",-25.6,0.77
"Ptarmigan","Lagmut",-24.85,1.15
"Ptarmigan","Lagmut",-27.51,-0.73
"Birds","Melnig",-24.15,7.17
"Birds","Melnig",-22.75,7.76
"Birds","Melnig",-24.68,7.36
"Birds","Melnig",-24.43,7.14
"Birds","Melnig",-23.06,7.31
"Birds","Melnig",-23.51,7.16
"Marine","Ristri",-20.09,8.66
"Marine","Ristri",-20.56,9.15
"Marine","Ristri",-18.57,12.68
"Marine","Ristri",-18.73,12.16
"Marine","Ristri",-19.55,12.44
"Marine","Ristri",-18.49,12.96
"Marine","Ristri",-18.7,12.04
"Marine","Ristri",-18.04,12.58
"Marine","Ristri",-18.67,11.91
"Marine","Ristri",-18.33,11.43
"Marine","Urilom",-19.04,11.25
"Marine","Urilom",-18.86,11.9
"Marine","Urilom",-19.75,12.05
"Marine","Urilom",-21.58,12.54
"Marine","Urilom",-20.11,12.92
"Marine","Urilom",-19.36,12.06
"Marine","Urilom",-18.51,11.28
"Marine","Urilom",-20.35,11.16
"Marine","Urilom",-18.33,11.61
"Marine","Urilom",-18.33,11.59
